state_name,fips,FedCattle,Price,Markdown,MarkdownSpatial,MarkdownMulti,MarkdownContract,CapEffect
ARIZONA,4001,36155.625,140.236414388554,3.29461106366453,2.216455980148,0.431916613724264,0.646238469792262,0.28815768117004
ARIZONA,4003,151,141.19252865837,3.6282188943617,2.9703278422125,0.128756306849584,0.529134745299617,0.147908461219519
ARIZONA,4007,36155.625,142.029493206213,3.7990264118972,3.10863274585749,0.260297797254996,0.430095868784709,0.113336118134593
ARIZONA,4009,36155.625,141.078305796701,3.45785423551602,2.73340508281326,0.260048827803436,0.46440032489933,0.185723649089073
ARIZONA,4013,36155.625,143.339532746037,5.26848646528083,4.6142118333446,0.0707952567363571,0.583479375199873,0.0184771867908163
ARIZONA,4015,36155.625,142.999047532201,3.04088715591791,2.47845758087582,0.167056229331889,0.395373345710199,0.0344276498296276
ARIZONA,4017,36155.625,140.716710577833,3.28447569746334,2.35694289842916,0.412604434908983,0.514928364125195,0.21575760955809
ARIZONA,4021,36155.625,142.67601709634,4.40676194172108,3.73853769515924,0.170042273762042,0.498181972799795,0.0441886687677241
ARIZONA,4025,404,143.111044696891,3.6909977003821,3.03566989241675,0.191382412646341,0.463945395319013,0.0470413677307036
ARIZONA,4027,36155.625,144.481073346567,3.6902140819336,3.16294491349452,0.030849117926214,0.496420050512866,8.48606169979313e-13
CALIFORNIA,6001,101,143.438675643971,3.59153787396933,3.12268511290341,0.00206183905802554,0.4667909220079,0.0190130376568625
CALIFORNIA,6005,13449.68182,143.430976768171,3.44270720637604,2.98432234451682,0.00433005007282562,0.454054811786388,0.0340795626207701
CALIFORNIA,6007,742,141.960501180564,3.18962654214715,2.66953358766023,1.32001554219779e-08,0.520092941286769,0.103555814653949
CALIFORNIA,6009,362,143.737253727652,3.49685584809168,3.03665641899284,0.00385651543821696,0.456342913660626,0.0266571038299218
CALIFORNIA,6011,644,142.053004912281,3.32834544976935,2.82446640643685,1.49829265724992e-08,0.503879028349568,0.07257075924206
CALIFORNIA,6013,13449.68182,143.201513668622,3.54876498085197,3.0840347453207,0.00233805244254665,0.462392183088727,0.0241473367368586
CALIFORNIA,6017,13449.68182,143.102834212134,3.35402049767941,2.89384134574505,0.0054425894194897,0.45473656251487,0.0469889642989964
CALIFORNIA,6019,13449.68182,145.918538529805,4.16252932106376,3.49098004588947,0.000134171634110547,0.671415103540182,0.000922914583076615
CALIFORNIA,6023,13449.68182,140.481342079149,2.94994587881498,2.38627283767236,1.0946943996287e-08,0.563673030195675,0.190358494387679
CALIFORNIA,6025,326189,144.318917584293,4.97937327624668,4.98561763372583,0.0103105689506743,-0.016554926429831,8.84502294189272e-13
CALIFORNIA,6029,13449.68182,144.99560121011,3.24403407566651,2.92203777418967,0.00317797668761885,0.31881832478922,0.00201086817906314
CALIFORNIA,6031,13449.68182,145.819721238666,4.11391585901191,3.56847079473603,0.000184836270395128,0.545260228005485,0.000756114913227302
CALIFORNIA,6033,13449.68182,141.809098838209,3.33599645266986,2.83299311356469,1.51121064036113e-08,0.503003323993065,0.0707332316038449
CALIFORNIA,6035,13449.68182,141.560272688503,2.9254431034228,2.33293493261875,1.01264616220389e-08,0.592508160677586,0.216721986612117
CALIFORNIA,6039,342,145.267761737088,4.03530021597554,3.41999466224976,0.000559153151616701,0.61474640057416,0.00403215762805392
CALIFORNIA,6041,85,142.551026883437,3.5826006455757,3.08128332691546,1.86362672943845e-08,0.501317300023972,0.0327157288703145
CALIFORNIA,6043,81,144.701565583251,3.84699541993619,3.29003639157171,0.00162561628818867,0.55533341207629,0.00946686396292475
CALIFORNIA,6045,261,141.192045107957,3.21919981423709,2.70636312659009,1.37021661852852e-08,0.512836673944833,0.0930798845295689
CALIFORNIA,6047,837,144.757717334628,3.92749398557909,3.34776133253095,0.00084832430670086,0.57888432874144,0.00662553110065147
CALIFORNIA,6049,1721,141.39283895598,2.87669841897375,2.22185176381638,9.38827468802216e-09,0.654846645769092,0.340129992972489
CALIFORNIA,6053,553,144.659401064274,3.81736602576197,3.26901003642495,0.000965789285905583,0.547390200051113,0.0030369764884499
CALIFORNIA,6057,13449.68182,142.48904857358,3.22240701669458,2.74463651478753,0.00601817751585137,0.471752324391199,0.075715982725784
CALIFORNIA,6061,13449.68182,142.744295560072,3.28674037579212,2.81880185986981,0.00565276607792846,0.462285749844375,0.0611059438541217
CALIFORNIA,6063,13449.68182,141.936118327597,3.08483500992505,2.54327058413045,1.19050495106391e-08,0.541564413889554,0.136387031951095
CALIFORNIA,6067,56,143.111279951018,3.45258838472507,2.99190001768397,0.00344775864778861,0.457240608393315,0.0357523179940603
CALIFORNIA,6069,1278,144.839156054857,3.9454031492157,3.34349357770111,0.000735456769881776,0.601174114744707,0.00305872759342649
CALIFORNIA,6071,13449.68182,144.406023016761,2.86243046933884,2.55398412944032,0.0216657858883906,0.286780554010135,0.00228589849787111
CALIFORNIA,6077,1869,143.650694462218,3.56210185572928,3.09511991388583,0.00263350030377631,0.464348441539683,0.0219870404287317
CALIFORNIA,6079,279,144.851870884361,3.63638158348073,3.21783314343931,0.00114406847858994,0.417404371562834,0.00179947313058791
CALIFORNIA,6081,13449.68182,143.199570044352,3.59691656622185,3.12946556840008,0.00182365876289931,0.465627339058864,0.0175945329919372
CALIFORNIA,6083,13449.68182,144.473677861306,3.27481051372874,2.87969126243699,1.73074729011805e-08,0.395119233984283,0.00180926653385939
CALIFORNIA,6085,41,143.860621851676,3.64378348618077,3.16732931426132,0.00172138375080949,0.474732788168641,0.0130244516025768
