state_name,state,fips,fed_cattle,lat,lon,region,contract_share
COLORADO,8,8071,230,37.315422,-104.03886,4,0.928
COLORADO,8,8073,1897,38.986279,-103.51563,4,0.928
COLORADO,8,8075,282526,40.724678,-103.10939,4,0.928
COLORADO,8,8077,6913.105263,39.018845,-108.46572,4,0.928
COLORADO,8,8081,994,40.61882,-108.20758,4,0.928
COLORADO,8,8085,175,38.40266,-108.27054,4,0.928
COLORADO,8,8087,205232,40.262684,-103.8091,4,0.928
COLORADO,8,8089,34571,37.901447,-103.71743,4,0.928
COLORADO,8,8093,6913.105263,39.121143,-105.7189,4,0.928
COLORADO,8,8095,25380,40.5938,-102.35501,4,0.928
COLORADO,8,8099,167523,37.955296,-102.39409,4,0.928
COLORADO,8,8101,1188,38.173592,-104.51274,4,0.928
COLORADO,8,8103,465,39.980774,-108.21352,4,0.928
COLORADO,8,8105,6913.105263,37.583687,-106.38478,4,0.928
COLORADO,8,8107,112,40.484985,-106.98943,4,0.928
COLORADO,8,8109,99,38.081783,-106.27871,4,0.928
COLORADO,8,8115,6913.105263,40.87598,-102.35197,4,0.928
COLORADO,8,8117,6913.105263,39.639309,-106.11696,4,0.928
COLORADO,8,8121,36853,39.971027,-103.20143,4,0.928
COLORADO,8,8123,410107,40.55463,-104.39342,4,0.928
COLORADO,8,8125,342212,40.00264,-102.42487,4,0.928
CONNECTICUT,9,9005,28,41.791252,-73.245934,9,0.559
CONNECTICUT,9,9011,370,41.488419,-72.110085,9,0.559
CONNECTICUT,9,9013,67,41.861179,-72.336334,9,0.559
CONNECTICUT,9,9015,28,41.829834,-71.98642,9,0.559
IDAHO,16,16001,2246,43.451012,-116.24128,6,0.853
IDAHO,16,16003,64,44.888607,-116.44975,6,0.853
IDAHO,16,16005,265,42.669151,-112.22595,6,0.853
IDAHO,16,16007,246,42.28183,-111.33128,6,0.853
IDAHO,16,16009,18958.25,47.214226,-116.65994,6,0.853
IDAHO,16,16011,18958.25,43.21619,-112.39853,6,0.853
IDAHO,16,16013,18958.25,43.412918,-113.97884,6,0.853
IDAHO,16,16017,18958.25,48.298923,-116.60039,6,0.853
IDAHO,16,16019,18958.25,43.387474,-111.6172,6,0.853
IDAHO,16,16021,102,48.766956,-116.46297,6,0.853
IDAHO,16,16023,18958.25,43.72472,-113.17012,6,0.853
